Breed,Walk Low,Walk High,Trot Low,Trot High,Canter Low,Canter High,Gallop Low,Gallop High,Sprint Low,Sprint High
SHETLAND,4,6,8,13,11,18,24,35,32,45
SHIRE,5,6,8,13,13,19,26,35,32,42
ARDENNES,5,6,10,14,14,21,29,39,35,45
FJORD,5,6,10,16,14,23,29,40,39,48
HAFLINGER,5,7,10,16,14,23,29,40,39,50
IRISH_COB,5,7,10,16,14,23,32,43,40,51
PERCHERON,5,6,10,16,14,23,32,43,40,51
BOULONNAIS,5,6,10,16,14,23,32,43,40,51
MONGOLIAN,5,6,10,16,14,23,32,45,45,56
FRIESIAN,6,7,13,19,16,24,35,45,45,55
KLADRUBER,6,7,13,19,18,26,35,45,45,55
WELSH,6,7,11,18,16,24,32,45,45,56
CONNEMARA,6,7,11,18,16,26,35,48,48,61
MUSTANG,6,7,13,19,19,27,40,51,48,64
MARWARI,6,8,13,19,19,27,40,51,51,64
AMERICAN_SOLDIER,6,8,13,19,19,27,40,51,51,64
STANDARDBRED,6,8,19,48,16,24,39,51,53,58
OLDENBURGER,6,8,14,21,21,29,43,55,55,64
SELLE_FRANCAIS,6,8,14,21,21,29,45,56,56,68
TRAKEHNER,6,8,14,21,21,29,45,56,56,68
AKHAL_TEKE,6,8,14,21,21,29,45,56,56,69
THOROUGHBRED,6,8,13,21,19,29,48,61,64,71
AMERICAN_QUARTER,6,8,13,19,19,27,48,64,72,88
