row_id,row_type,bone,cube_id,cube_index,parent_bone,Mustang origin,Mustang size,Mustang inflate,Mustang pivot,Mustang rotation,Ardennes origin,Ardennes size,Ardennes inflate,Ardennes pivot,Ardennes rotation,Kladruber origin,Kladruber size,Kladruber inflate,Kladruber pivot,Kladruber rotation,Fjord origin,Fjord size,Fjord inflate,Fjord pivot,Fjord rotation,Thoroughbred origin,Thoroughbred size,Thoroughbred inflate,Thoroughbred pivot,Thoroughbred rotation,Friesian origin,Friesian size,Friesian inflate,Friesian pivot,Friesian rotation,Irish Cob origin,Irish Cob size,Irish Cob inflate,Irish Cob pivot,Irish Cob rotation,American Quarter origin,American Quarter size,American Quarter inflate,American Quarter pivot,American Quarter rotation,Percheron origin,Percheron size,Percheron inflate,Percheron pivot,Percheron rotation,Selle Francais origin,Selle Francais size,Selle Francais inflate,Selle Francais pivot,Selle Francais rotation,Marwari origin,Marwari size,Marwari inflate,Marwari pivot,Marwari rotation,Mongolian origin,Mongolian size,Mongolian inflate,Mongolian pivot,Mongolian rotation,Shire origin,Shire size,Shire inflate,Shire pivot,Shire rotation,Akhal-Teke origin,Akhal-Teke size,Akhal-Teke inflate,Akhal-Teke pivot,Akhal-Teke rotation,American Soldier origin,American Soldier size,American Soldier inflate,American Soldier pivot,American Soldier rotation,Welsh origin,Welsh size,Welsh inflate,Welsh pivot,Welsh rotation,Connemara origin,Connemara size,Connemara inflate,Connemara pivot,Connemara rotation,Haflinger origin,Haflinger size,Haflinger inflate,Haflinger pivot,Haflinger rotation,Oldenburger origin,Oldenburger size,Oldenburger inflate,Oldenburger pivot,Oldenburger rotation,Shetland origin,Shetland size,Shetland inflate,Shetland pivot,Shetland rotation,Standardbred origin,Standardbred size,Standardbred inflate,Standardbred pivot,Standardbred rotation,Trakehner origin,Trakehner size,Trakehner inflate,Trakehner pivot,Trakehner rotation,Boulonnais origin,Boulonnais size,Boulonnais inflate,Boulonnais pivot,Boulonnais rotation
body,bone,body,,,,,,,"[0, 18.94261, 0]",,,,,"[0, 18.94261, 0]",,,,,"[0, 20.45802, 0]",,,,,"[0, 17.04548, 0]",,,,,"[0, 20.83687, 0]",,,,,"[0, 21.93687, 0]",,,,,"[0, 17.94261, 0]",,,,,"[0, 18.94261, 0]",,,,,"[0, 22.67431, 0]",,,,,"[0, 18.94261, 0]",,,,,"[0, 18.94261, 0]",,,,,"[0, 16.14835, 0]",,,,,"[0, 23.93113, 0]",,,,,"[0, 19.79503, 0]",,,,,"[0, 21.73113, 0]",,,,,"[0, 14.15409, 0]",,,,,"[0, 15.15409, 0]",,,,,"[0, 17.99548, 0]",,,,,"[0, 19.88974, 0]",,,,,"[0, 11.88626, 0]",,,,,"[0, 19.54261, 0]",,,,,"[0, 18.94261, 0]",,,,,"[0, 19.83687, 0]",
body_piv,bone,body_piv,,,body,,,,"[0, 18.9426, 0]",,,,,"[0, 18.9426, 0]",,,,,"[0, 20.45801, 0]",,,,,"[0, 17.04547, 0]",,,,,"[0, 20.83686, 0]",,,,,"[0, 21.93686, 0]",,,,,"[0, 17.9426, 0]",,,,,"[0, 18.9426, 0]",,,,,"[0, 22.6743, 0]",,,,,"[0, 18.9426, 0]",,,,,"[0, 18.9426, 0]",,,,,"[0, 16.14834, 0]",,,,,"[0, 23.93112, 0]",,,,,"[0, 19.79502, 0]",,,,,"[0, 21.73112, 0]",,,,,"[0, 14.15408, 0]",,,,,"[0, 15.15408, 0]",,,,,"[0, 17.99547, 0]",,,,,"[0, 19.88973, 0]",,,,,"[0, 11.88626, 0]",,,,,"[0, 19.5426, 0]",,,,,"[0, 18.9426, 0]",,,,,"[0, 19.83686, 0]",
body_piv_c1,cube,body_piv,body_piv_c1,1,body_piv,"[-4.94261, 13.8393, -3.95409]","[9.88522, 11.86226, 7.90818]",0,,,"[-4.94261, 13.3393, -3.95409]","[9.88522, 12.36226, 7.90818]",0,,,"[-5.33802, 14.94644, -4.27042]","[10.67604, 12.81124, 8.54084]",0,,,"[-4.69548, 12.19734, -3.75639]","[9.39096, 11.26914, 7.51278]",0,,,"[-5.43687, 15.69323, -4.5695]","[10.87374, 2.35247, 8.919]",-0.01,"[0, 16.85697, -0.11]","[2.5, 0, 0]","[-5.43687, 16.10323, -4.3495]","[10.87374, 13.26849, 8.699]",0,,,"[-4.94261, 12.3393, -3.95409]","[9.88522, 12.36226, 7.90818]",0,,,"[-4.94261, 14.0393, -3.95409]","[9.88522, 2.41839, 7.90818]",-0.01,"[0, 17.99339, 0]","[2.5, 0, 0]","[-5.91631, 16.18564, -4.73304]","[11.83262, 14.57913, 9.46608]",0,,,"[-4.94261, 13.8393, -3.95409]","[9.88522, 11.86226, 7.90818]",0,,,"[-4.94261, 14.3393, -3.95409]","[9.88522, 11.36226, 7.90818]",0,,,"[-4.44835, 11.55537, -3.55868]","[8.8967, 10.67603, 7.11736]",0,,,"[-5.93113, 17.80716, -4.74491]","[11.86226, 14.23471, 9.48982]",0,,,"[-5.16503, 15.40117, -4.42756]","[10.33006, 2.38485, 8.47304]",-0.01,"[0, 16.44359, -0.19104]","[5, 0, 0]","[-5.93113, 15.60716, -4.74491]","[11.86226, 14.23471, 9.48982]",0,,,"[-3.95409, 10.07144, -3.16327]","[7.90818, 9.48981, 6.32654]",0,,,"[-3.95409, 11.07144, -3.16327]","[7.90818, 9.48981, 6.32654]",0,,,"[-4.69548, 13.14734, -3.75639]","[9.39096, 11.26915, 7.51277]",0,,,"[-5.18924, 14.53176, -4.36129]","[10.37848, 2.45956, 8.40759]",-0.01,"[0, 18.68306, -0.105]","[2.5, 0, 0]","[-3.33626, 7.92402, -2.66901]","[6.67253, 8.52453, 4.88803]",0,,,"[-4.94261, 14.3393, -4.15409]","[9.88522, 2.46839, 8.10818]",-0.01,"[0, 18.59339, 0]","[2.5, 0, 0]","[-4.94261, 13.8393, -3.95409]","[9.88522, 11.86226, 7.90818]",0,,,"[-5.43687, 14.22323, -4.3495]","[10.87374, 13.04849, 8.699]",0,,
body_piv_c2,cube,body_piv,body_piv_c2,2,body_piv,"[0.29713, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[0.29713, 13.76, -14.23414]","[4.94146, 12.36111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[0.3169, 15.3968, -15.37687]","[5.34478, 12.818, 11.64364]",0.05,"[0, 21.96594, -8.54082]","[-5, 0, 0]","[0.28477, 12.5995, -13.51993]","[4.68939, 11.26305, 10.23005]",0.05,"[0, 18.37189, -7.51276]","[-5, 0, 0]","[-5.43687, 17.8207, -4.5695]","[10.87374, 10.51602, 8.919]",0,,,"[0.32184, 16.561, -15.66255]","[5.44561, 13.27722, 11.86111]",0.05,"[0, 23.47271, -8.69899]","[-5, 0, 0]","[0.29713, 12.76, -14.23414]","[4.94146, 12.36111, 10.77374]",0.05,"[0, 19.33883, -7.90817]","[-5, 0, 0]","[-4.94261, 16.05769, -3.95409]","[9.88522, 9.84387, 7.90818]",0,,,"[0.34581, 16.67937, -17.04812]","[5.93463, 14.59745, 12.91588]",0.05,"[0, 24.34558, -9.46608]","[-5, 0, 0]","[0.29713, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[0.29713, 14.76, -14.23414]","[4.94146, 11.36111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[0.27242, 11.939, -12.80573]","[4.43731, 10.665, 9.68637]",0.05,"[0, 17.40495, -7.11735]","[-5, 0, 0]","[0.34656, 18.302, -17.09097]","[5.94975, 14.25333, 12.94849]",0.05,"[0, 25.6066, -9.4898]","[-5, 0, 0]","[-5.16503, 17.38592, -4.34102]","[10.33006, 9.46771, 8.47304]",0,,,"[0.34656, 16.102, -17.09097]","[5.94975, 14.25333, 12.94849]",0.05,"[0, 23.4066, -9.4898]","[-5, 0, 0]","[0.2477, 10.418, -11.37731]","[3.93317, 9.46889, 8.59899]",0.05,"[0, 15.27106, -6.32654]","[-5, 0, 0]","[0.2477, 11.418, -11.37731]","[3.93317, 9.46889, 8.59899]",0.05,"[0, 16.27106, -6.32654]","[-5, 0, 0]","[0.28477, 13.5495, -13.51993]","[4.68939, 11.26305, 10.23005]",0.05,"[0, 19.32189, -7.51276]","[-5, 0, 0]","[-5.18974, 16.78182, -4.15179]","[10.37948, 10.20481, 8.30359]",0,,,"[0.21681, 8.08925, -9.59179]","[3.30298, 8.49125, 7.23977]",0.05,"[0, 12.69371, -5.33802]","[-2.5, 0, 0]","[-4.94261, 16.60769, -3.95409]","[9.88522, 9.69387, 7.90818]",0,,,"[0.29713, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[0.32184, 14.681, -15.66255]","[5.44561, 13.05722, 11.86111]",0.05,"[0, 21.37271, -8.69899]","[-5, 0, 0]"
body_piv_c3,cube,body_piv,body_piv_c3,3,body_piv,"[-5.23859, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[-5.23859, 13.76, -14.23414]","[4.94146, 12.36111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[-5.66168, 15.3968, -15.37687]","[5.34478, 12.818, 11.64364]",0.05,"[0, 21.96594, -8.54082]","[-5, 0, 0]","[-4.97416, 12.5995, -13.51993]","[4.68939, 11.26305, 10.23005]",0.05,"[0, 18.37189, -7.51276]","[-5, 0, 0]","[0.32184, 15.901, -15.66255]","[5.44561, 12.83722, 11.86111]",0.05,"[0, 22.37271, -8.69899]","[-5, 0, 0]","[-5.76745, 16.561, -15.66255]","[5.44561, 13.27722, 11.86111]",0.05,"[0, 23.47271, -8.69899]","[-5, 0, 0]","[-5.23859, 12.76, -14.23414]","[4.94146, 12.36111, 10.77374]",0.05,"[0, 19.33883, -7.90817]","[-5, 0, 0]","[0.29713, 14.06, -14.23414]","[4.94146, 12.06111, 10.77374]",0.05,"[0, 20.13883, -7.90817]","[-2.5, 0, 0]","[-6.28044, 16.67937, -17.04812]","[5.93463, 14.59745, 12.91588]",0.05,"[0, 24.34558, -9.46608]","[-5, 0, 0]","[-5.23859, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[-5.23859, 14.76, -14.23414]","[4.94146, 11.36111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[-4.70973, 11.939, -12.80573]","[4.43731, 10.665, 9.68637]",0.05,"[0, 17.40495, -7.11735]","[-5, 0, 0]","[-6.29631, 18.302, -17.09097]","[5.94975, 14.25333, 12.94849]",0.05,"[0, 25.6066, -9.4898]","[-5, 0, 0]","[0.30825, 15.39345, -14.87692]","[5.16833, 11.90536, 11.26305]",0.05,"[0, 21.25407, -8.26404]","[-5, 0, 0]","[-6.29631, 16.102, -17.09097]","[5.94975, 14.25333, 12.94849]",0.05,"[0, 23.4066, -9.4898]","[-5, 0, 0]","[-4.18087, 10.418, -11.37731]","[3.93317, 9.46889, 8.59899]",0.05,"[0, 15.27106, -6.32654]","[-5, 0, 0]","[-4.18087, 11.418, -11.37731]","[3.93317, 9.46889, 8.59899]",0.05,"[0, 16.27106, -6.32654]","[-5, 0, 0]","[-4.97416, 13.5495, -13.51993]","[4.68939, 11.26305, 10.23005]",0.05,"[0, 19.32189, -7.51276]","[-5, 0, 0]","[0.30949, 14.7605, -14.94835]","[5.19353, 12.66917, 11.31743]",0.05,"[0, 21.35577, -8.30358]","[-5, 0, 0]","[-3.5198, 8.08925, -9.59179]","[3.30298, 8.49125, 7.23977]",0.05,"[0, 12.69371, -5.33802]","[-2.5, 0, 0]","[0.29713, 14.56, -14.23414]","[4.94146, 12.16111, 10.77374]",0.05,"[0, 20.93883, -7.90817]","[-5, 0, 0]","[-5.23859, 14.26, -14.23414]","[4.94146, 11.86111, 10.77374]",0.05,"[0, 20.33883, -7.90817]","[-5, 0, 0]","[-5.76745, 14.681, -15.66255]","[5.44561, 13.05722, 11.86111]",0.05,"[0, 21.37271, -8.69899]","[-5, 0, 0]"
body_piv_c4,cube,body_piv,body_piv_c4,4,body_piv,"[-5.13974, 14.34672, 3.46956]","[10.27948, 11.86111, 10.87259]",0.05,"[0, 20.27727, 8.90586]","[5, 0, 0]","[-5.13974, 13.84672, 3.46956]","[10.27948, 12.36111, 10.87259]",0.05,"[0, 20.27727, 8.90586]","[5, 0, 0]","[-5.55492, 15.00446, 3.74312]","[11.10984, 12.818, 11.7504]",0.05,,,"[-4.88025, 12.68188, 3.29858]","[9.7605, 11.26306, 10.32396]",0.05,"[0, 18.31341, 8.46057]","[5, 0, 0]","[-5.76745, 15.901, -15.66255]","[5.44561, 12.83722, 11.86111]",0.05,"[0, 22.37271, -8.69899]","[-5, 0, 0]","[-5.65871, 16.65639, 3.81152]","[11.31742, 13.27722, 11.96985]",0.05,"[0, 23.405, 9.79645]","[5, 0, 0]","[-5.13974, 12.84672, 3.46956]","[10.27948, 12.36111, 10.87259]",0.05,"[0, 19.27727, 8.90586]","[5, 0, 0]","[-5.23859, 14.06, -14.23414]","[4.94146, 12.06111, 10.77374]",0.05,"[0, 20.13883, -7.90817]","[-2.5, 0, 0]","[-6.16212, 16.78318, 4.14322]","[12.32424, 14.59745, 13.03418]",0.05,"[0, 24.27189, 10.66031]","[5, 0, 0]","[-5.13974, 13.88532, 3.51277]","[10.27948, 11.96111, 10.87259]",0.05,,,"[-5.13974, 14.84672, 3.46956]","[10.27948, 11.36111, 10.87259]",0.05,"[0, 20.27727, 8.90586]","[5, 0, 0]","[-4.62077, 12.01705, 3.1276]","[9.24154, 10.665, 9.77534]",0.05,"[0, 17.34954, 8.01527]","[5, 0, 0]","[-6.17769, 18.40606, 4.15347]","[12.35538, 14.25334, 13.06711]",0.05,"[0, 25.53272, 10.68703]","[5, 0, 0]","[-5.47658, 15.39345, -14.87692]","[5.16833, 11.90536, 11.26305]",0.05,"[0, 21.25407, -8.26404]","[-5, 0, 0]","[-6.17769, 16.20606, 4.15347]","[12.35538, 14.25334, 13.06711]",0.05,"[0, 23.33272, 10.68703]","[5, 0, 0]","[-4.10179, 10.48738, 2.78565]","[8.20358, 9.46888, 8.67807]",0.05,"[0, 15.22182, 7.12469]","[5, 0, 0]","[-4.10179, 11.48738, 2.78565]","[8.20358, 9.46889, 8.67807]",0.05,"[0, 16.22182, 7.12469]","[5, 0, 0]","[-4.88025, 13.63188, 3.29858]","[9.76051, 11.26305, 10.32396]",0.05,"[0, 19.26341, 8.46057]","[5, 0, 0]","[-5.50302, 14.7605, -14.94835]","[5.19353, 12.66917, 11.31743]",0.05,"[0, 21.35577, -8.30358]","[-5, 0, 0]","[-3.45307, 8.12529, 1.9082]","[6.90614, 8.46875, 7.3065]",0.05,"[0, 12.65216, 5.56146]","[2.5, 0, 0]","[-5.23859, 14.56, -14.23414]","[4.94146, 12.16111, 10.77374]",0.05,"[0, 20.93883, -7.90817]","[-5, 0, 0]","[-5.13974, 13.84672, 3.46956]","[10.27948, 11.86111, 10.87259]",0.05,,,"[-5.65871, 14.77639, 3.81152]","[11.31743, 13.05722, 11.96985]",0.05,"[0, 21.305, 9.79645]","[5, 0, 0]"
body_piv_c5,cube,body_piv,body_piv_c5,5,body_piv,"[-4.94261, 14.82782, -13.8393]","[9.88522, 10.87374, 9.88521]",0,,,"[-4.94261, 14.32782, -13.8393]","[9.88522, 11.37374, 9.88521]",0,,,"[-5.33802, 16.01405, -14.94644]","[10.67604, 11.74363, 10.67602]",0,,,"[-4.69548, 13.13643, -13.14733]","[9.39096, 10.33005, 9.39094]",0,,,"[-5.65871, 15.50139, 3.81152]","[11.31742, 12.82722, 11.96985]",0.05,,,"[-5.43687, 17.1906, -15.22323]","[10.87374, 12.18112, 10.87373]",0,,,"[-4.94261, 13.32782, -13.8393]","[9.88522, 11.37374, 9.88521]",0,,,"[-5.13974, 13.43315, 3.51268]","[10.27948, 12.26111, 10.87259]",0.05,"[0, 18.87672, 8.77197]","[-2.5, 0, 0]","[-5.91631, 17.3689, -16.56564]","[11.83262, 13.39587, 11.8326]",0,,,"[-4.94261, 14.82782, -13.8393]","[9.88522, 10.87374, 9.88521]",0,,,"[-4.94261, 15.32782, -13.8393]","[9.88522, 10.37374, 9.88521]",0,,,"[-4.44835, 12.44504, -12.45537]","[8.8967, 9.78636, 8.89669]",0,,,"[-5.93113, 18.99338, -16.60716]","[11.86226, 13.04849, 11.86225]",0,,,"[-5.37327, 15.45507, 3.62344]","[10.74654, 11.42086, 11.36636]",0.05,,,"[-5.93113, 16.79338, -16.60716]","[11.86226, 13.04849, 11.86225]",0,,,"[-3.95409, 10.86226, -11.07144]","[7.90818, 8.69899, 7.90817]",0,,,"[-3.95409, 11.86226, -11.07144]","[7.90818, 8.69899, 7.90817]",0,,,"[-4.69548, 14.08643, -13.14733]","[9.39096, 10.33005, 9.39095]",0,,,"[-5.39923, 14.64156, 3.64054]","[10.79845, 12.35417, 11.42122]",0.05,,,"[-3.33626, 9.10877, -9.34152]","[6.67253, 7.33978, 6.67251]",0,,,"[-5.13974, 14.34672, 3.46956]","[10.27948, 11.96111, 10.87259]",0.05,,,"[-4.94261, 14.82782, -13.8393]","[9.88522, 10.87374, 9.88521]",0,,,"[-5.43687, 15.3106, -15.22323]","[10.87374, 11.96111, 10.87373]",0,,
saddle,bone,saddle,,,body_piv,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 24.63495, -3.11385]",,,,,"[0, 20.71963, -2.73903]",,,,,"[0, 25.09115, -3.17151]",,,,,"[0, 26.19115, -3.17151]",,,,,"[0, 21.81014, -2.88319]",,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 27.30374, -3.45118]",,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 19.62913, -2.59487]",,,,,"[0, 28.57217, -3.45983]",,,,,"[0, 23.83659, -3.01293]",,,,,"[0, 26.37217, -3.45983]",,,,,"[0, 17.24811, -2.30655]",,,,,"[0, 18.24811, -2.30655]",,,,,"[0, 21.66963, -2.73903]",,,,,"[0, 23.95065, -3.02735]",,,,,"[0, 14.49685, -1.94615]",,,,,"[0, 23.41014, -2.88319]",,,,,"[0, 22.81014, -2.88319]",,,,,"[0, 24.09115, -3.17151]",
saddle_c1,cube,saddle,saddle_c1,1,saddle,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.72591, 21.35206, 2.1352]","[13.45182, 8.54083, 2.13522]",0,,,"[-5.91631, 17.83191, 1.87819]","[11.83262, 7.51276, 1.8782]",0,,,"[-6.85046, 21.74747, 2.17474]","[13.70092, 8.69899, 2.17476]",0,,,"[-6.85046, 22.84747, 2.17474]","[13.70092, 8.69899, 2.17476]",0,,,"[-6.22769, 18.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-7.45455, 23.2852, 2.36652]","[14.9091, 9.84609, 2.36652]",0,,,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-5.60492, 16.89339, 1.77934]","[11.20984, 7.11735, 1.77934]",0,,,"[-7.47323, 24.92452, 2.37245]","[14.94646, 9.4898, 2.37246]",0,,,"[-6.50794, 20.6601, 2.066]","[13.01588, 8.26404, 2.06602]",0,,,"[-7.47323, 22.72452, 2.37245]","[14.94646, 9.4898, 2.37246]",0,,,"[-4.98215, 14.81634, 1.58163]","[9.9643, 6.32654, 1.58164]",0,,,"[-4.98215, 15.81634, 1.58163]","[9.9643, 6.32654, 1.58164]",0,,,"[-5.91631, 18.78191, 1.87819]","[11.83261, 7.51276, 1.8782]",0,,,"[-6.53907, 20.75895, 2.07589]","[13.07815, 8.30358, 2.0759]",0,,,"[-4.20369, 12.44504, 1.3345]","[8.40739, 5.33802, 1.33451]",0,,,"[-6.22769, 20.37043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.22769, 19.77043, 1.97704]","[12.45538, 7.90817, 1.97705]",0,,,"[-6.85046, 20.74747, 2.17474]","[13.70092, 8.69899, 2.17475]",0,,
saddle_c2,cube,saddle,saddle_c2,2,saddle,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.61914, 21.35206, -5.33802]","[13.23828, 7.79351, 8.54082]",0,,,"[-5.82239, 17.83191, -4.69548]","[11.64478, 6.8554, 7.51276]",0,,,"[-6.74171, 21.74747, -5.43687]","[13.48342, 7.93783, 8.69899]",0,,,"[-6.74171, 22.84747, -5.43687]","[13.48342, 7.93783, 8.69899]",0,,,"[-6.12883, 18.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-7.33621, 23.2852, -5.91631]","[14.67242, 9.01781, 9.46609]",0,,,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-5.51595, 16.89339, -4.44835]","[11.0319, 6.49459, 7.11735]",0,,,"[-7.3546, 24.92452, -5.93113]","[14.7092, 8.65945, 9.4898]",0,,,"[-6.40462, 20.6601, -5.16503]","[12.80924, 7.54094, 8.26404]",0,,,"[-7.3546, 22.72452, -5.93113]","[14.7092, 8.65945, 9.4898]",0,,,"[-4.90306, 14.81634, -3.95409]","[9.80612, 5.77297, 6.32654]",0,,,"[-4.90306, 15.81634, -3.95409]","[9.80613, 5.77297, 6.32654]",0,,,"[-5.82239, 18.78191, -4.69548]","[11.64478, 6.8554, 7.51276]",0,,,"[-6.43527, 20.75895, -5.18974]","[12.87054, 7.57702, 8.30358]",0,,,"[-4.13696, 12.44504, -3.33626]","[8.27392, 4.87094, 5.33802]",0,,,"[-6.12883, 20.37043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.12883, 19.77043, -4.94261]","[12.25766, 7.21621, 7.90817]",0,,,"[-6.74171, 20.74747, -5.43687]","[13.48343, 7.93783, 8.69899]",0,,
